date,t2m
01/08/2019,27.006628
02/08/2019,27.119469
03/08/2019,26.904345
04/08/2019,26.456358
05/08/2019,26.163383
06/08/2019,26.379871
07/08/2019,26.433712
08/08/2019,26.795752
09/08/2019,27.01256
10/08/2019,26.914135
11/08/2019,26.852503
12/08/2019,27.469969
13/08/2019,27.425917
14/08/2019,27.23867
15/08/2019,27.211782
16/08/2019,27.037794
17/08/2019,26.860462
18/08/2019,26.76288
19/08/2019,26.984999
20/08/2019,27.529646
21/08/2019,27.487923
22/08/2019,27.273863
23/08/2019,26.977095
24/08/2019,27.093626
25/08/2019,27.321058
26/08/2019,27.173243
27/08/2019,26.93402
28/08/2019,26.9434
29/08/2019,26.88694
30/08/2019,26.957918
31/08/2019,26.992834
01/09/2019,27.170444
02/09/2019,27.287926
03/09/2019,27.101734
04/09/2019,26.717213
05/09/2019,26.609606
06/09/2019,26.788708
07/09/2019,27.10813
08/09/2019,27.333706
09/09/2019,27.417747
10/09/2019,27.74409
11/09/2019,27.04082
12/09/2019,26.611498
13/09/2019,26.783092
14/09/2019,27.056612
15/09/2019,27.078249
16/09/2019,27.234777
17/09/2019,27.392324
18/09/2019,27.439724
19/09/2019,27.26782
20/09/2019,27.378492
21/09/2019,27.307968
22/09/2019,27.545473
23/09/2019,27.699484
24/09/2019,27.92745
25/09/2019,28.183886
26/09/2019,28.124681
27/09/2019,28.31565
28/09/2019,28.26738
29/09/2019,28.184757
30/09/2019,28.192856
01/10/2019,28.066862
02/10/2019,28.362879
03/10/2019,28.40079
04/10/2019,28.125992
05/10/2019,28.148935
06/10/2019,28.306238
07/10/2019,28.255604
08/10/2019,28.588232
09/10/2019,28.671858
10/10/2019,28.904638
11/10/2019,28.735035
12/10/2019,28.373585
13/10/2019,28.45041
14/10/2019,28.61654
15/10/2019,28.532234
16/10/2019,28.600191
17/10/2019,28.468916
18/10/2019,28.935709
19/10/2019,28.727571
20/10/2019,28.781693
21/10/2019,29.155005
22/10/2019,29.161808
23/10/2019,29.168242
24/10/2019,28.85253
25/10/2019,28.668129
26/10/2019,28.640757
27/10/2019,28.425058
28/10/2019,28.80323
29/10/2019,28.627686
30/10/2019,28.705265
31/10/2019,28.771114
01/11/2019,28.012585
02/11/2019,27.093279
03/11/2019,28.372948
04/11/2019,28.787098
05/11/2019,29.022291
06/11/2019,28.996084
07/11/2019,29.150927
08/11/2019,29.622532
09/11/2019,29.314669
10/11/2019,29.253914
11/11/2019,29.435503
12/11/2019,29.376108
13/11/2019,29.210093
14/11/2019,29.234293
15/11/2019,29.44031
16/11/2019,29.629335
17/11/2019,29.729565
18/11/2019,29.920567
19/11/2019,29.328661
20/11/2019,29.553616
21/11/2019,29.338589
22/11/2019,29.684927
23/11/2019,29.734434
24/11/2019,29.622717
25/11/2019,29.216991
26/11/2019,29.115799
27/11/2019,29.099552
28/11/2019,29.945236
29/11/2019,29.815857
30/11/2019,29.649338
01/12/2019,30.244377
02/12/2019,29.982033
03/12/2019,29.405724
04/12/2019,28.51761
05/12/2019,28.14497
06/12/2019,28.240284
07/12/2019,28.986704
08/12/2019,29.200113
09/12/2019,28.978355
10/12/2019,28.702358
11/12/2019,28.721033
12/12/2019,28.514622
13/12/2019,28.516935
14/12/2019,28.27766
15/12/2019,27.933952
16/12/2019,27.760242
17/12/2019,27.433449
18/12/2019,28.69506
19/12/2019,28.325508
20/12/2019,28.927736
21/12/2019,28.877987
22/12/2019,27.654917
23/12/2019,27.900011
24/12/2019,28.579145
25/12/2019,27.29048
26/12/2019,27.996153
27/12/2019,26.977417
28/12/2019,28.151869
29/12/2019,28.066372
30/12/2019,28.133602
31/12/2019,27.460228
01/01/2020,26.93083
02/01/2020,27.720974
03/01/2020,27.705933
04/01/2020,27.704073
05/01/2020,27.5964
06/01/2020,27.422523
07/01/2020,27.40467
08/01/2020,27.27462
09/01/2020,27.345558
10/01/2020,27.4807
11/01/2020,27.738977
12/01/2020,27.973032
13/01/2020,28.401863
14/01/2020,28.319658
15/01/2020,28.145567
16/01/2020,28.19855
17/01/2020,28.62136
18/01/2020,28.52545
19/01/2020,28.551914
20/01/2020,27.716902
21/01/2020,28.037766
22/01/2020,29.017555
23/01/2020,28.232944
24/01/2020,28.193888
25/01/2020,27.709667
26/01/2020,28.36334
27/01/2020,28.473051
28/01/2020,29.045969
29/01/2020,28.736221
30/01/2020,27.87939
31/01/2020,27.469213
01/02/2020,27.326284
02/02/2020,27.187687
03/02/2020,27.310652
04/02/2020,27.971706
05/02/2020,28.203085
06/02/2020,28.248268
07/02/2020,27.236511
08/02/2020,27.952566
09/02/2020,27.968405
10/02/2020,27.822727
11/02/2020,27.266745
12/02/2020,27.626501
13/02/2020,28.363766
14/02/2020,28.013124
15/02/2020,27.705366
16/02/2020,27.482815
17/02/2020,27.164522
18/02/2020,27.09183
19/02/2020,26.987309
20/02/2020,27.079626
21/02/2020,27.71623
22/02/2020,27.726564
23/02/2020,27.547647
24/02/2020,27.49706
25/02/2020,27.586271
26/02/2020,27.753025
27/02/2020,27.75957
28/02/2020,27.596828
29/02/2020,27.748055
01/03/2020,27.306318
02/03/2020,28.40748
03/03/2020,28.17732
04/03/2020,27.465586
05/03/2020,27.818556
06/03/2020,27.328053
07/03/2020,27.120918
08/03/2020,27.503183
09/03/2020,27.45952
10/03/2020,28.52808
11/03/2020,28.786386
12/03/2020,28.87889
13/03/2020,28.003746
14/03/2020,28.17064
15/03/2020,28.156845
16/03/2020,28.056217
17/03/2020,27.898987
18/03/2020,27.555016
19/03/2020,27.319473
20/03/2020,27.745972
21/03/2020,28.346764
22/03/2020,28.397932
23/03/2020,27.39956
24/03/2020,27.82772
25/03/2020,28.300982
26/03/2020,29.034103
27/03/2020,28.813028
28/03/2020,28.53284
29/03/2020,27.795727
30/03/2020,27.982079
31/03/2020,27.899364
01/04/2020,28.34389
02/04/2020,28.127886
03/04/2020,28.190107
04/04/2020,28.032446
05/04/2020,27.527626
06/04/2020,26.945045
07/04/2020,27.274782
08/04/2020,27.318996
09/04/2020,28.265617
10/04/2020,28.47539
11/04/2020,27.446693
12/04/2020,27.664803
13/04/2020,27.683092
14/04/2020,27.759361
15/04/2020,28.540731
16/04/2020,28.437212
17/04/2020,27.864231
18/04/2020,27.822962
19/04/2020,28.219189
20/04/2020,28.63888
21/04/2020,28.904207
22/04/2020,29.34852
23/04/2020,29.499275
24/04/2020,29.549511
25/04/2020,28.830986
26/04/2020,28.846132
27/04/2020,29.180067
28/04/2020,28.267366
29/04/2020,28.217258
30/04/2020,28.782242
01/05/2020,28.55327
02/05/2020,28.823135
03/05/2020,28.83788
04/05/2020,28.93551
05/05/2020,29.27482
06/05/2020,29.318413
07/05/2020,29.616617
08/05/2020,29.236067
09/05/2020,27.83905
10/05/2020,28.893307
11/05/2020,28.50571
12/05/2020,29.110891
13/05/2020,29.188042
14/05/2020,28.9918
15/05/2020,29.188774
16/05/2020,29.39973
17/05/2020,29.298792
18/05/2020,27.862572
19/05/2020,28.269373
20/05/2020,27.896023
21/05/2020,27.498365
22/05/2020,28.327528
23/05/2020,28.98761
